"ADM0_A3","ISO 2"
"ARG","AR"
"BOL","BO"
"BRA","BR"
"CHL","CL"
"COL","CO"
"ECU","EC"
"GUF","GF"
"GUY","GY"
"PRY","PY"
"PER","PE"
"SUR","SR"
"URY","UY"
"VEN","VE"
