,AL,AD,AT,BY,BE,BA,BG,HR,CZ,DK,EE,FI,FR,DE,VA,HU,IS,IE,IT,LV,LI,LT,LU,MK,MT,MD,MC,ME,NL,NO,PL,PT,RO,RU,SM,RS,SK,SI,ES,SE,CH,TR,UA,GB,GR
NL,0.0,262.0,9128.0,0.0,133062.0,0.0,1772.0,0.0,3045.0,8085.0,342.0,1653.0,40825.0,165391.0,0.0,4264.0,408.0,5708.0,13214.0,161.0,80.0,310.0,3986.0,0.0,0.0,0.0,0.0,154.0,0.0,9088.0,3413.0,4542.0,1803.0,546.0,0.0,764.0,780.0,374.0,51778.0,12402.0,23521.0,30017.0,0.0,81375.0,3819.0
NO,0.0,0.0,860.0,59.0,1195.0,0.0,545.0,0.0,238.0,20581.0,458.0,1852.0,4653.0,9804.0,0.0,1479.0,1390.0,347.0,1825.0,443.0,7.0,2763.0,262.0,0.0,0.0,0.0,0.0,0.0,3099.0,0.0,2014.0,378.0,1378.0,699.0,0.0,139.0,1097.0,30.0,15024.0,42813.0,2243.0,4886.0,0.0,20224.0,525.0
PL,0.0,0.0,75752.0,470.0,78798.0,0.0,1946.0,0.0,21694.0,42528.0,744.0,5018.0,94525.0,2141722.0,0.0,3383.0,21102.0,146211.0,113874.0,767.0,76.0,1900.0,5051.0,99.0,0.0,130.0,0.0,97.0,148991.0,100479.0,0.0,1116.0,1379.0,29190.0,32.0,675.0,7367.0,399.0,63466.0,95128.0,40957.0,4695.0,3128.0,835975.0,15975.0
PT,0.0,11534.0,2930.0,0.0,37506.0,0.0,569.0,0.0,507.0,2900.0,236.0,598.0,639888.0,152869.0,0.0,630.0,1082.0,2848.0,6735.0,42.0,424.0,128.0,75221.0,0.0,0.0,670.0,0.0,0.0,19574.0,3536.0,178.0,0.0,2430.0,230.0,0.0,38.0,283.0,64.0,108063.0,4253.0,218672.0,305.0,0.0,141916.0,328.0
RO,0.0,0.0,121355.0,21.0,92559.0,379.0,3519.0,0.0,9659.0,28985.0,306.0,3871.0,138550.0,654822.0,0.0,214514.0,1675.0,22839.0,1048862.0,71.0,37.0,360.0,5225.0,22.0,0.0,1880.0,0.0,104.0,28691.0,14872.0,3270.0,26113.0,0.0,3908.0,145.0,3675.0,9763.0,442.0,613336.0,31831.0,24386.0,28522.0,0.0,393569.0,47120.0
RU,0.0,0.0,34745.0,672481.0,8210.0,164.0,32789.0,0.0,37471.0,6499.0,119097.0,15212.0,73208.0,1198831.0,0.0,4583.0,492.0,7532.0,82890.0,116771.0,69.0,51718.0,2780.0,214.0,0.0,40018.0,0.0,927.0,5076.0,18486.0,50329.0,6508.0,9608.0,0.0,38.0,2999.0,3098.0,3572.0,96126.0,22166.0,24722.0,27319.0,3330586.0,36203.0,55281.0
SM,0.0,0.0,1.0,0.0,14.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,251.0,0.0,0.0,3.0,2.0,0.0,1932.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,8.0,44.0,0.0,0.0,0.0,0.0,48.0,4.0,26.0,0.0,0.0,0.0,0.0
RS,0.0,0.0,177609.0,33.0,769.0,9550.0,3245.0,0.0,3665.0,3674.0,52.0,252.0,96899.0,199691.0,0.0,48194.0,752.0,0.0,86911.0,22.0,428.0,13.0,3682.0,18009.0,0.0,0.0,0.0,8831.0,320.0,6778.0,1363.0,200.0,2926.0,0.0,0.0,0.0,2463.0,47393.0,5264.0,23696.0,66207.0,0.0,0.0,9343.0,4467.0
SK,0.0,0.0,42800.0,25.0,1752.0,3165.0,394.0,0.0,113773.0,2896.0,177.0,334.0,5560.0,60815.0,0.0,20980.0,517.0,13573.0,10611.0,36.0,55.0,71.0,869.0,35.0,0.0,0.0,0.0,55.0,1671.0,3779.0,1707.0,103.0,579.0,1830.0,0.0,484.0,0.0,577.0,9849.0,1907.0,20099.0,428.0,0.0,72209.0,876.0
SI,0.0,0.0,24263.0,0.0,268.0,1831.0,129.0,0.0,478.0,468.0,40.0,102.0,2752.0,44089.0,0.0,454.0,70.0,239.0,4693.0,12.0,107.0,10.0,599.0,255.0,0.0,0.0,0.0,1622.0,549.0,438.0,198.0,61.0,123.0,348.0,0.0,11139.0,380.0,0.0,1382.0,1411.0,6516.0,199.0,0.0,3668.0,130.0
ES,0.0,22196.0,7575.0,33.0,49754.0,0.0,7450.0,0.0,1524.0,7934.0,730.0,3046.0,282397.0,186074.0,0.0,2599.0,991.0,8886.0,35124.0,220.0,267.0,833.0,5651.0,0.0,0.0,0.0,0.0,0.0,31415.0,7350.0,6357.0,18175.0,61861.0,1392.0,0.0,159.0,1304.0,204.0,0.0,12579.0,68909.0,1661.0,0.0,150892.0,1202.0
SE,0.0,51.0,3051.0,333.0,3204.0,0.0,514.0,0.0,576.0,24246.0,952.0,33412.0,8272.0,22178.0,0.0,1858.0,2357.0,2140.0,6228.0,272.0,25.0,555.0,1460.0,0.0,0.0,0.0,0.0,150.0,5397.0,48283.0,1722.0,920.0,1323.0,473.0,0.0,1212.0,342.0,339.0,21562.0,0.0,9520.0,7335.0,0.0,35824.0,5526.0
CH,0.0,85.0,15405.0,27.0,5370.0,0.0,600.0,0.0,684.0,2916.0,136.0,1148.0,108987.0,93524.0,0.0,3692.0,226.0,633.0,193568.0,97.0,14437.0,100.0,1375.0,0.0,0.0,0.0,0.0,211.0,8003.0,2427.0,1337.0,18566.0,1080.0,578.0,0.0,2910.0,1045.0,978.0,65924.0,4123.0,0.0,14260.0,0.0,23649.0,3769.0
TR,1838.0,0.0,159999.0,23.0,101925.0,0.0,14454.0,0.0,3077.0,33385.0,468.0,7644.0,340271.0,1837282.0,0.0,3391.0,104.0,559.0,20513.0,229.0,581.0,233.0,1435.0,20011.0,0.0,585.0,0.0,86.0,199280.0,12238.0,1149.0,789.0,9206.0,10230.0,0.0,394.0,405.0,237.0,5356.0,51223.0,80729.0,0.0,1376.0,97205.0,34081.0
UA,0.0,0.0,14046.0,222436.0,2648.0,0.0,11275.0,0.0,131316.0,11400.0,24170.0,2851.0,18166.0,289743.0,0.0,70944.0,437.0,5232.0,248460.0,32262.0,61.0,20566.0,1471.0,63.0,0.0,42436.0,0.0,140.0,3022.0,5693.0,272594.0,53384.0,43363.0,3268263.0,68.0,1297.0,11582.0,2806.0,106373.0,10176.0,10631.0,5745.0,0.0,22119.0,19846.0
GB,0.0,1135.0,11721.0,453.0,22472.0,0.0,11981.0,0.0,6410.0,21428.0,1297.0,6460.0,169565.0,118246.0,0.0,15065.0,1857.0,305197.0,66500.0,3712.0,65.0,6620.0,5633.0,0.0,0.0,0.0,0.0,102.0,57243.0,19940.0,45577.0,21089.0,31593.0,1739.0,0.0,658.0,9187.0,740.0,303193.0,29715.0,45951.0,26016.0,0.0,0.0,18033.0
GR,29643.0,0.0,6778.0,105.0,18201.0,0.0,8061.0,0.0,1248.0,3702.0,171.0,1674.0,15488.0,391502.0,0.0,1361.0,181.0,728.0,17196.0,51.0,47.0,103.0,3163.0,232.0,0.0,443.0,0.0,55.0,19776.0,3352.0,4085.0,212.0,8458.0,1950.0,0.0,930.0,649.0,127.0,5373.0,19399.0,14784.0,81457.0,0.0,75441.0,0.0
