Topic,Count,Name,Representation,KeyBERT,MMR,Representative_Docs
26,76,26_vacunas_vacuna_dosis_vacunacin,"['vacunas', 'vacuna', 'dosis', 'vacunacin', 'covid', 'vacunados', 'johnson', '19', 'vacina', 'vacunarse']","['vacinas', 'vacunas', 'vacina', 'vacunatorios', 'vacuna', 'vacunaron', 'vaccines', 'vacunando', 'vacunar', 'vacunacion']","['vacunas', 'vacunacin', 'vacunados', 'vacina', 'vacunarse', 'vacunar', 'vacunaron', 'vacunatorios', 'vacunando', 'vacunacion']","['recibe millones de vacunas de', 'lo que temamos poda suceder est pasando la oferta de vacunas contra el covid es muy inferior a la demanda en el corto y mediano plazo en cancelan las citas para vacunacin pues no hay inventario en las pocas vacunas irn a manos de los corruptos ', 'por qu an no tiene vacunas contra el covid 19 ']"
27,70,27_tienda_talla_compras_ropa,"['tienda', 'talla', 'compras', 'ropa', 'envos', 'model', 'supermercado', 'precio', 'colores', 'disponibles']","['fashionlover', 'fashion', 'moda', 'fashionstyle', 'fashiondesigners', 'boutique', 'ropa', 'tienda', 'compras', 'tiendas']","['tienda', 'compras', 'ropa', 'supermercado', 'precio', 'fashion', 'amarillo', 'shopping', 'moda', 'ventas']","['jockstrap suspensor talla m amarillo talla l negro naranja amarillo orlvs bragas de algodn para hombre ropa interior sexy suspensorio en ', 'zapatos deportivos disponibles modelo converse tallas a la precio a sus rdenes mircoles zapatosdeportivos modafemenina ventasonline comprasonline oufits ejido lagunillas mucuches tovar elviga converse moda ', 'tienda exclusiva en ropa interior men s closet tallas y colores disponibles desde la m a la xl envo a toda envo desde whatsap 67775843 en ']"
28,70,28_periodista_teo_periodistas_periodismo,"['periodista', 'teo', 'periodistas', 'periodismo', 'medios', 'prensa', 'gran', 'cobertura', 'ser', 'noticias']","['periodistas', 'periodista', 'periodismomovil', 'periodismo', 'medios', 'noticias', 'prensa', 'noticiaspat', 'periodstico', 'cobertura']","['periodista', 'periodistas', 'periodismo', 'medios', 'noticias', 'comunicacin', 'cnn', 'poderosos', 'paronacional', 'social']","['julian assange periodista es encarcelado por decir la verdad juan carlos monedero periodista es imputado por decir la verdad que con su mafioso periodista estrambasaguas y los recientes golpistas de asesinaron ciudadanos por lo cual obtuvieron un jugoso pago', 'el periodismo en es de una mediocridad extrema periodista', 'los periodistas en teo teo teo teo teo teo teo teo teo teo teo teo teo teo teo']"
29,69,29_aeropuerto_vuelo_internacional_vuelos,"['aeropuerto', 'vuelo', 'internacional', 'vuelos', 'jorge', 'chvez', 'aviones', 'aviadores', 'avion', 'avin']","['aeroporto', 'aeropuerto', 'vuelos', 'operacionesaereas', 'fuerzaaereacolombiana', 'avion', 'flights', 'aviones', 'aviadores', 'helicopterosdeguerra']","['aeropuerto', 'vuelo', 'vuelos', 'chvez', 'aviones', 'aviadores', 'avion', 'flight', 'flights', 'internacionales']","['nos vamos aeropuerto internacional jorge chvez in ', ' aeropuerto internacional jorge chvez in ', 'i m at aeropuerto internacional b in ']"
30,60,30_video_youtube_publicar_netflix,"['video', 'youtube', 'publicar', 'netflix', 'acaba', 'posted', 'warriors', 'yate', 'canal', 'alquiler']","['video', 'videos', 'videoscalientes', 'videoshot', 'elgordodelosvideos', 'youtube', 'likeomgspnomgforlikefunnyvideosfunnymiercoles', 'cine', 'documentary', 'queremal']","['video', 'youtube', 'netflix', 'warriors', 'canal', 'videos', 'cine', 'vi', 'tuned', 'noooooooo']","['acaba de publicar un video en ', 'acaba de publicar un video en d ', 'acaba de publicar un video en']"
31,60,31_alcalde_alcaldesa_prefeito_alcaldes,"['alcalde', 'alcaldesa', 'prefeito', 'alcaldes', 'palafitas', 'ciudad', 'municipio', 'ser', 'pruebas', 'municipal']","['prefeito', 'alcalde', 'alcaldes', 'vereadora', 'prefeitura', 'alcaldesa', 'ciudad', 'municipal', 'habitantes', 'olla']","['alcaldesa', 'prefeito', 'palafitas', 'municipio', 'corrupto', 'qu', 'intendente', 'prefeitura', 'olla', 'falar']","['este alcalde de debera ir preso ', 'este alcalde de es cosa seria', 'tiene alcalde ']"
32,60,32_cats_catsofinstagram_gatos_perros,"['cats', 'catsofinstagram', 'gatos', 'perros', 'cat', 'dogs', 'perro', 'dog', 'gato', 'animales']","['gatos', 'cats', 'gato', 'gatosdetejada', 'cat', 'catsofinstagram', 'gatites', 'catlover', 'funnycatsofinstagram', 'mascota']","['cats', 'catsofinstagram', 'gatos', 'perros', 'cat', 'gato', 'mascota', 'perritos', 'cookie', 'gatita']","['join me in in affectionately known as cat park home to s of stray cats who are taken care of by local residents with food water and a whole lotta love watch video cats mustlovecats catlover catsoftwitter ilovecats', 'ven que tengo la cama sola cat persiancat persian cats animales pet catsofinstagram kittens gato gatos en ', 'alien cats 911 aliencats cats catsofinstagram ilovecats cat gatos gato mascotas love en ']"
33,56,33_casos_confirmados_covid_19,"['casos', 'confirmados', 'covid', '19', 'covid19', 'fallecidos', 'positivos', 'nuevos', 'total', 'delta']","['covid_19', 'covid19', 'covid', 'casos', 'confirmados', 'pruebas', 'caso', 'investigacin', 'cuarentena', 'confirma']","['casos', 'confirmados', 'fallecidos', 'covid_19', 'quedateencasa', 'variacin', 'datos', 'salud', 'pacientes', 'contagios']","[' casos positivos confirmados de covid 19 variacin diaria de casos positivos confirmados fallecidos confirmados de covid 19 en la provincia de manab quedateencasa noscuidamosentretodos', ' guayas casos positivos confirmados de covid 19 variacin diaria de casos positivos confirmados fallecidos confirmados de covid 19 quedateencasa noscuidamosentretodos', ' suman nuevos casos de covid19 en departamentos del pas haciendo un total de casos confirmados hasta la fecha los nuevos casos confirmados son casos casos casos oruro casos beni casos fue un da difcil']"
34,54,34_masacre_muertos_joven_asesinos,"['masacre', 'muertos', 'joven', 'asesinos', 'crmenes', 'mujer', 'cinco', 'asesino', 'polica', 'mateando']","['asesinos', 'asesinan', 'asesino', 'asesinato', 'mateando', 'embrutecidos', 'masacre', 'massacre', 'fusilamiento', 'delincuentes']","['masacre', 'asesinos', 'asesino', 'mateando', 'asesinan', 'gays', 'massacre', 'asesinato', 'terror', 'policia']","['en un solo da en un rinconcito de un mismo partido villa celina entradera con tipos a los tiros en medio de la calle un camionero borracho mata a una nia de aos a media hora de ah matan a un joven 18 en un asalto te preocupan unas cuantas compu ', 'luego de estar cinco aos huyendo el cti de la captur en las al destituido patrullero de la polica nacionalwilmer alarcn vargas quien en fue condenado a aos de prisin por el asesinato del joven grafitero diego felipe becerra en hechos ocurridos en', 'terrorism complaint in my country mas related blockers tried to blow up the gas and gas storage place they blew the cars in and near the dynamite facilities if these people accomplished their mission more than people exploded worse than bombs can die']"
35,54,35_running_fitness_gym_runner,"['running', 'fitness', 'gym', 'runner', 'workout', 'entrenamiento', 'morgan', 'runningmotivation', 'run', 'fuxioncorazn']","['runner', 'maratona', 'runninglife', 'runningmotivation', 'running', 'fitness', 'run', 'fitnessmotivation', 'workout', 'ejercicio']","['running', 'fitness', 'runner', 'workout', 'runningmotivation', 'ejercicio', 'triathlon', 'cardio', 'runninglife', 'adidas']","['ganadesdeadentro con cada entrenamiento cumplido junto a fmolestinae y vueltas en la prez perazo runner running run training prezperazo en ', '12k a c fuxion fuxioncorazn instarunners runner running runningcommunity runningmotivation runninglife en ', '10k a c fuxion fuxioncorazn instarunners runner runninglife running runningmotivation en ']"
