AL,AD,AT,BY,BE,BA,BG,HR,CZ,DK,EE,FI,FR,DE,VA,HU,IS,IE,IT,LV,LI,LT,LU,MK,MT,MD,MC,ME,NL,NO,PL,PT,RO,RU,SM,RS,SK,SI,ES,SE,CH,TR,UA,GB,GR
0.0,0.0,19.0,2.0,12.0,0.0,1.0,13.0,14.0,0.0,0.0,5.0,66.0,38.0,0.0,0.0,1.0,6.0,20.0,0.0,0.0,0.0,3.0,0.0,2.0,5.0,1.0,2.0,7.0,3.0,17.0,4.0,8.0,18.0,0.0,4.0,11.0,3.0,43.0,3.0,4.0,15.0,32.0,100.0,3.0
0.0,0.0,2.0,3.0,6.0,1.0,1.0,3.0,2.0,12.0,0.0,5.0,62.0,16.0,0.0,0.0,0.0,19.0,9.0,1.0,0.0,0.0,0.0,1.0,2.0,4.0,0.0,0.0,10.0,16.0,12.0,3.0,2.0,157.0,0.0,0.0,2.0,1.0,20.0,9.0,1.0,5.0,217.0,81.0,2.0
1.0,0.0,3.0,3.0,12.0,1.0,3.0,5.0,4.0,6.0,2.0,4.0,181.0,16.0,4.0,3.0,3.0,0.0,33.0,0.0,0.0,2.0,1.0,1.0,0.0,4.0,0.0,0.0,13.0,4.0,4.0,7.0,4.0,36.0,0.0,1.0,3.0,0.0,33.0,6.0,5.0,6.0,43.0,494.0,7.0
1.0,0.0,4.0,0.0,2.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,29.0,7.0,7.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,1.0,7.0,4.0,7.0,1.0,0.0,0.0,0.0,17.0,1.0,6.0,4.0,9.0,29.0,4.0
0.0,0.0,0.0,6.0,5.0,0.0,0.0,0.0,0.0,3.0,3.0,6.0,20.0,6.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,5.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0,3.0,3.0,1.0,39.0,0.0,1.0,0.0,1.0,13.0,5.0,2.0,1.0,32.0,23.0,2.0
2.0,0.0,86.0,3.0,16.0,0.0,1.0,4.0,5.0,2.0,1.0,7.0,89.0,113.0,0.0,4.0,4.0,10.0,69.0,0.0,0.0,1.0,3.0,0.0,0.0,6.0,2.0,0.0,9.0,5.0,8.0,6.0,12.0,18.0,0.0,0.0,2.0,1.0,95.0,15.0,457.0,5.0,31.0,51.0,3.0
2.0,0.0,2.0,44.0,8.0,3.0,2.0,3.0,6.0,16.0,20.0,8.0,97.0,20.0,1.0,2.0,2.0,15.0,27.0,34.0,2.0,0.0,1.0,1.0,1.0,5.0,0.0,1.0,8.0,6.0,33.0,12.0,3.0,86.0,0.0,9.0,4.0,2.0,67.0,8.0,1.0,14.0,99.0,91.0,5.0
3.0,3.0,4.0,9.0,43.0,1.0,0.0,5.0,4.0,10.0,2.0,4.0,261.0,62.0,0.0,17.0,4.0,45.0,50.0,1.0,0.0,3.0,0.0,1.0,3.0,5.0,0.0,0.0,17.0,12.0,8.0,52.0,1.0,34.0,4.0,11.0,0.0,4.0,49.0,8.0,12.0,12.0,41.0,159.0,7.0
6.0,0.0,5.0,2.0,2.0,2.0,32.0,4.0,2.0,1.0,0.0,1.0,29.0,6.0,0.0,3.0,0.0,2.0,6.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,4.0,1.0,1.0,12.0,0.0,11.0,1.0,3.0,8.0,1.0,2.0,7.0,1.0,18.0,8.0
1.0,1.0,5.0,1.0,8.0,0.0,6.0,8.0,3.0,1.0,2.0,3.0,134.0,43.0,1.0,7.0,37.0,25.0,139.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,3.0,4.0,10.0,15.0,5.0,28.0,1.0,4.0,0.0,0.0,77.0,9.0,10.0,17.0,18.0,340.0,15.0
1.0,0.0,4.0,3.0,7.0,6.0,16.0,4.0,4.0,1.0,2.0,6.0,81.0,14.0,0.0,8.0,0.0,8.0,15.0,5.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,2.0,7.0,7.0,23.0,0.0,67.0,115.0,0.0,14.0,1.0,4.0,19.0,13.0,3.0,7.0,369.0,49.0,2.0
0.0,0.0,15.0,0.0,8.0,0.0,1.0,5.0,1.0,1.0,0.0,1.0,224.0,78.0,2.0,7.0,0.0,7.0,202.0,0.0,1.0,0.0,1.0,2.0,1.0,3.0,0.0,1.0,5.0,2.0,3.0,1.0,1.0,10.0,1.0,0.0,0.0,0.0,27.0,3.0,4.0,11.0,4.0,106.0,5.0
