AL,AD,AT,BY,BE,BA,BG,HR,CZ,DK,EE,FI,FR,DE,VA,HU,IS,IE,IT,LV,LI,LT,LU,MK,MT,MD,MC,ME,NL,NO,PL,PT,RO,RU,SM,RS,SK,SI,ES,SE,CH,TR,UA,GB,GR
0.0,0.0,15.0,0.0,8.0,0.0,1.0,5.0,1.0,1.0,0.0,1.0,226.0,80.0,2.0,7.0,0.0,7.0,203.0,0.0,1.0,0.0,1.0,2.0,1.0,3.0,0.0,1.0,5.0,2.0,3.0,1.0,1.0,9.0,1.0,0.0,0.0,0.0,27.0,3.0,4.0,11.0,3.0,106.0,5.0
10.0,0.0,0.0,3.0,2.0,5.0,14.0,14.0,4.0,1.0,1.0,1.0,23.0,2.0,0.0,3.0,1.0,1.0,6.0,1.0,0.0,1.0,0.0,2.0,6.0,0.0,0.0,0.0,1.0,2.0,5.0,1.0,1.0,14.0,0.0,21.0,1.0,3.0,8.0,1.0,2.0,7.0,17.0,20.0,6.0
1.0,1.0,2.0,2.0,11.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,27.0,15.0,1.0,2.0,0.0,6.0,10.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,5.0,3.0,0.0,10.0,0.0,0.0,0.0,0.0,25.0,2.0,3.0,2.0,7.0,50.0,2.0
0.0,0.0,4.0,2.0,6.0,1.0,1.0,2.0,1.0,19.0,1.0,15.0,39.0,17.0,0.0,4.0,5.0,7.0,27.0,1.0,0.0,2.0,1.0,1.0,2.0,16.0,1.0,0.0,8.0,0.0,3.0,5.0,4.0,28.0,0.0,0.0,1.0,2.0,33.0,28.0,3.0,3.0,20.0,96.0,4.0
2.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,24.0,14.0,0.0,2.0,1.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0,2.0,0.0,29.0,0.0,2.0,5.0,1.0,14.0,5.0,5.0,1.0,28.0,38.0,0.0
1.0,1.0,5.0,0.0,6.0,0.0,1.0,5.0,8.0,2.0,1.0,3.0,45.0,13.0,0.0,1.0,1.0,2.0,40.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,1.0,0.0,6.0,2.0,1.0,0.0,0.0,18.0,1.0,3.0,0.0,0.0,114.0,2.0,6.0,5.0,17.0,55.0,3.0
2.0,0.0,15.0,4.0,6.0,1.0,20.0,5.0,7.0,2.0,2.0,6.0,96.0,14.0,0.0,16.0,3.0,3.0,23.0,2.0,0.0,6.0,4.0,0.0,0.0,23.0,0.0,0.0,19.0,2.0,7.0,9.0,0.0,55.0,0.0,9.0,2.0,0.0,34.0,4.0,2.0,21.0,80.0,155.0,8.0
0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,6.0,2.0,1.0,0.0,1.0,1.0,6.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,2.0,9.0,7.0,2.0
0.0,6.0,28.0,2.0,1.0,2.0,2.0,9.0,6.0,6.0,0.0,3.0,33.0,18.0,3.0,9.0,2.0,4.0,492.0,0.0,0.0,1.0,1.0,0.0,5.0,3.0,1.0,2.0,5.0,2.0,1.0,6.0,0.0,108.0,0.0,3.0,0.0,2.0,21.0,9.0,6.0,4.0,8.0,92.0,12.0
0.0,0.0,0.0,0.0,1.0,2.0,5.0,2.0,0.0,1.0,0.0,1.0,13.0,3.0,0.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,1.0,4.0,3.0,1.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,2.0,3.0,1.0,1.0,3.0,2.0,4.0,1.0
2.0,2.0,39.0,4.0,5.0,5.0,3.0,5.0,29.0,7.0,0.0,10.0,142.0,35.0,5.0,40.0,3.0,15.0,35.0,1.0,2.0,0.0,2.0,0.0,1.0,3.0,1.0,1.0,7.0,5.0,16.0,11.0,1.0,53.0,1.0,7.0,0.0,2.0,29.0,5.0,8.0,15.0,62.0,154.0,6.0
0.0,0.0,123.0,0.0,3.0,3.0,7.0,25.0,3.0,0.0,1.0,0.0,30.0,11.0,1.0,3.0,0.0,3.0,32.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,4.0,5.0,5.0,2.0,8.0,0.0,7.0,4.0,0.0,13.0,5.0,1.0,2.0,3.0,41.0,5.0
0.0,1.0,5.0,1.0,7.0,0.0,3.0,4.0,2.0,5.0,1.0,1.0,53.0,31.0,0.0,6.0,2.0,2.0,53.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,7.0,2.0,4.0,15.0,0.0,24.0,0.0,0.0,2.0,0.0,0.0,19.0,11.0,6.0,17.0,55.0,5.0
1.0,0.0,4.0,2.0,2.0,2.0,0.0,0.0,0.0,8.0,0.0,10.0,28.0,27.0,1.0,2.0,5.0,3.0,16.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,8.0,16.0,1.0,1.0,0.0,14.0,0.0,1.0,2.0,0.0,16.0,0.0,4.0,4.0,5.0,71.0,1.0
1.0,1.0,18.0,1.0,10.0,0.0,0.0,8.0,5.0,5.0,0.0,0.0,111.0,49.0,3.0,4.0,4.0,5.0,55.0,1.0,1.0,2.0,1.0,1.0,0.0,15.0,1.0,0.0,7.0,7.0,18.0,18.0,1.0,24.0,1.0,0.0,11.0,2.0,63.0,8.0,0.0,18.0,33.0,98.0,8.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,2.0,3.0
0.0,0.0,2.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,12.0,3.0,0.0,3.0,0.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,3.0,98.0,0.0,1.0,0.0,0.0,5.0,2.0,2.0,6.0,0.0,15.0,0.0
2.0,0.0,6.0,0.0,8.0,0.0,2.0,4.0,4.0,6.0,1.0,1.0,148.0,31.0,0.0,4.0,5.0,30.0,26.0,0.0,0.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,13.0,1.0,7.0,12.0,0.0,16.0,0.0,1.0,2.0,1.0,39.0,5.0,12.0,6.0,8.0,0.0,3.0
1.0,0.0,2.0,0.0,12.0,0.0,3.0,2.0,1.0,3.0,1.0,0.0,56.0,14.0,1.0,0.0,11.0,4.0,13.0,0.0,0.0,0.0,0.0,7.0,1.0,6.0,0.0,0.0,3.0,1.0,2.0,0.0,1.0,9.0,0.0,0.0,0.0,2.0,15.0,3.0,5.0,30.0,10.0,80.0,0.0
