AL,AD,AT,BY,BE,BA,BG,HR,CZ,DK,EE,FI,FR,DE,VA,HU,IS,IE,IT,LV,LI,LT,LU,MK,MT,MD,MC,ME,NL,NO,PL,PT,RO,RU,SM,RS,SK,SI,ES,SE,CH,TR,UA,GB,GR
1.0,0.0,3.0,3.0,11.0,1.0,3.0,5.0,4.0,6.0,2.0,4.0,169.0,16.0,3.0,3.0,3.0,0.0,33.0,0.0,0.0,2.0,1.0,1.0,0.0,3.0,0.0,0.0,13.0,4.0,4.0,5.0,4.0,28.0,0.0,1.0,3.0,0.0,32.0,6.0,4.0,6.0,34.0,456.0,6.0
1.0,0.0,4.0,0.0,2.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,28.0,6.0,7.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,1.0,6.0,3.0,7.0,1.0,0.0,0.0,0.0,17.0,1.0,5.0,4.0,7.0,29.0,4.0
0.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,3.0,3.0,6.0,20.0,6.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,5.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0,3.0,3.0,1.0,32.0,0.0,1.0,0.0,1.0,13.0,5.0,2.0,1.0,27.0,22.0,2.0
2.0,0.0,86.0,3.0,16.0,0.0,1.0,4.0,5.0,2.0,1.0,7.0,87.0,110.0,0.0,4.0,4.0,10.0,69.0,0.0,0.0,1.0,3.0,0.0,0.0,6.0,2.0,0.0,9.0,5.0,8.0,6.0,12.0,15.0,0.0,0.0,2.0,1.0,93.0,15.0,456.0,5.0,27.0,47.0,3.0
2.0,0.0,2.0,44.0,8.0,3.0,2.0,3.0,6.0,16.0,20.0,8.0,97.0,20.0,1.0,2.0,2.0,15.0,27.0,34.0,2.0,0.0,1.0,1.0,1.0,5.0,0.0,1.0,8.0,6.0,33.0,12.0,3.0,85.0,0.0,9.0,4.0,2.0,67.0,8.0,1.0,14.0,99.0,91.0,5.0
3.0,3.0,4.0,9.0,43.0,1.0,0.0,5.0,4.0,10.0,2.0,4.0,261.0,62.0,0.0,17.0,4.0,45.0,50.0,1.0,0.0,3.0,0.0,1.0,3.0,5.0,0.0,0.0,17.0,12.0,8.0,52.0,1.0,34.0,4.0,11.0,0.0,4.0,49.0,8.0,12.0,12.0,40.0,159.0,7.0
6.0,0.0,5.0,2.0,2.0,2.0,30.0,4.0,2.0,1.0,0.0,1.0,28.0,6.0,0.0,3.0,0.0,2.0,6.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,4.0,1.0,1.0,12.0,0.0,11.0,1.0,3.0,7.0,1.0,2.0,6.0,1.0,18.0,8.0
1.0,1.0,5.0,1.0,8.0,0.0,5.0,8.0,3.0,1.0,2.0,3.0,130.0,37.0,1.0,7.0,37.0,23.0,137.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,3.0,3.0,10.0,14.0,5.0,19.0,1.0,4.0,0.0,0.0,73.0,9.0,10.0,17.0,11.0,316.0,14.0
1.0,0.0,4.0,3.0,7.0,6.0,16.0,4.0,4.0,1.0,1.0,4.0,79.0,14.0,0.0,8.0,0.0,7.0,14.0,5.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,2.0,7.0,7.0,19.0,0.0,64.0,98.0,0.0,8.0,1.0,4.0,19.0,13.0,3.0,7.0,312.0,45.0,2.0
0.0,0.0,14.0,0.0,8.0,0.0,1.0,5.0,1.0,1.0,0.0,1.0,222.0,77.0,2.0,7.0,0.0,7.0,201.0,0.0,1.0,0.0,1.0,2.0,1.0,3.0,0.0,1.0,5.0,2.0,3.0,1.0,1.0,9.0,1.0,0.0,0.0,0.0,27.0,3.0,4.0,11.0,3.0,103.0,5.0
