AR,BO,BR,CL,CO,EC,PY,PE,UY,VE
0.0,17.142857142857142,128.57142857142856,53.57142857142857,30.0,21.428571428571427,19.285714285714285,40.714285714285715,34.285714285714285,42.857142857142854
4.052132701421801,0.0,2.639218009478673,2.079383886255924,1.3062796208530805,1.759478672985782,0.39988151658767773,1.7061611374407581,0.3732227488151659,2.7991706161137437
80.0,0.0,0.0,20.0,40.0,0.0,20.0,70.0,30.0,60.0
62.30769230769231,6.923076923076923,29.76923076923077,0.0,45.0,6.923076923076923,3.4615384615384617,22.153846153846153,4.153846153846154,52.61538461538461
52.0,10.0,66.0,17.0,0.0,26.0,13.0,13.0,6.0,81.0
20.642201834862384,7.9816513761467895,20.36697247706422,14.862385321100918,27.24770642201835,0.0,1.1009174311926606,12.385321100917432,3.5779816513761467,21.467889908256883
20.583941605839417,1.7518248175182483,21.02189781021898,6.350364963503649,4.817518248175182,2.18978102189781,0.0,3.5036496350364965,3.284671532846715,5.036496350364963
18.417462482946792,6.6302864938608455,13.997271487039564,12.76944065484311,14.733969986357435,8.10368349249659,2.7012278308321966,0.0,3.1923601637107777,23.819918144611187
31.20385232744783,2.6003210272873196,20.802568218298557,11.556982343499197,7.5120385232744775,2.6003210272873196,4.333868378812199,5.489566613162118,0.0,10.112359550561797
15.41958041958042,16.363636363636363,19.51048951048951,11.643356643356643,45.62937062937063,22.027972027972027,3.1468531468531467,14.475524475524475,2.5174825174825175,0.0
