source,target,weight
AR,BO,17.142857142857142
AR,BR,128.57142857142856
AR,CL,53.57142857142857
AR,CO,30.0
AR,EC,21.428571428571427
AR,PY,19.285714285714285
AR,PE,40.71428571428572
AR,UY,34.285714285714285
AR,VE,42.85714285714285
BO,AR,4.052132701421801
BO,BR,2.639218009478673
BO,CL,2.079383886255924
BO,CO,1.3062796208530805
BO,EC,1.759478672985782
BO,PY,0.3998815165876777
BO,PE,1.706161137440758
BO,UY,0.3732227488151659
BO,VE,2.799170616113744
BR,AR,80.0
BR,CL,20.0
BR,CO,40.0
BR,PY,20.0
BR,PE,70.0
BR,UY,30.0
BR,VE,60.0
CL,AR,62.30769230769231
CL,BO,6.923076923076923
CL,BR,29.76923076923077
CL,CO,45.0
CL,EC,6.923076923076923
CL,PY,3.4615384615384617
CL,PE,22.153846153846157
CL,UY,4.153846153846154
CL,VE,52.61538461538461
CO,AR,52.0
CO,BO,10.0
CO,BR,66.0
CO,CL,17.0
CO,EC,26.0
CO,PY,13.0
CO,PE,13.0
CO,UY,6.0
CO,VE,81.0
EC,AR,20.642201834862384
EC,BO,7.981651376146789
EC,BR,20.36697247706422
EC,CL,14.862385321100918
EC,CO,27.24770642201835
EC,PY,1.1009174311926606
EC,PE,12.385321100917432
EC,UY,3.5779816513761467
EC,VE,21.467889908256883
PY,AR,20.583941605839417
PY,BO,1.7518248175182485
PY,BR,21.02189781021898
PY,CL,6.350364963503649
PY,CO,4.817518248175182
PY,EC,2.18978102189781
PY,PE,3.5036496350364965
PY,UY,3.284671532846715
PY,VE,5.036496350364963
PE,AR,18.417462482946792
PE,BO,6.6302864938608455
PE,BR,13.997271487039564
PE,CL,12.76944065484311
PE,CO,14.733969986357437
PE,EC,8.10368349249659
PE,PY,2.7012278308321966
PE,UY,3.1923601637107777
PE,VE,23.819918144611187
UY,AR,31.20385232744783
UY,BO,2.60032102728732
UY,BR,20.80256821829856
UY,CL,11.556982343499197
UY,CO,7.512038523274477
UY,EC,2.60032102728732
UY,PY,4.333868378812199
UY,PE,5.489566613162118
UY,VE,10.112359550561797
VE,AR,15.41958041958042
VE,BO,16.363636363636363
VE,BR,19.51048951048951
VE,CL,11.643356643356643
VE,CO,45.62937062937063
VE,EC,22.027972027972027
VE,PY,3.1468531468531467
VE,PE,14.475524475524477
VE,UY,2.517482517482517
