,AR,BO,BR,CL,CO,EC,PY,PE,UY,VE
AR,0.0,8,60.0,25.0,14.0,10,9.0,19.0,16.0,20.0
BO,152.0,0,99.0,78.0,49.0,66,15.0,64.0,14.0,105.0
BR,8.0,0,0.0,2.0,4.0,0,2.0,7.0,3.0,6.0
CL,90.0,10,43.0,0.0,65.0,10,5.0,32.0,6.0,76.0
CO,52.0,10,66.0,17.0,0.0,26,13.0,13.0,6.0,81.0
EC,75.0,29,74.0,54.0,99.0,0,4.0,45.0,13.0,78.0
PY,94.0,8,96.0,29.0,22.0,10,0.0,16.0,15.0,23.0
PE,75.0,27,57.0,52.0,60.0,33,11.0,0.0,13.0,97.0
UY,108.0,9,72.0,40.0,26.0,9,15.0,19.0,0.0,35.0
VE,49.0,52,62.0,37.0,145.0,70,10.0,46.0,8.0,0.0
