"ISO 2","pop","gdp old","gdp"
"AR",45773884,621833,632770284410
"BO",12388571,46796,43068885670
"BR",216422446,2126809,1920095560000
"CL",19629590,344400,317000000000
"CO",52085168,363835,343939445260
"EC",18190484,118686,106200000000
"PY",6861524,44142,41722295360
"PE",34352719,264636,242631549610
"UY",3423109,76244,59320000000
"VE",28838499,92210,482359318770
