Topic,Count,Name,Representation,KeyBERT,MMR,Representative_Docs
35,683,35_birthday_happy_happybirthday_love,"['birthday', 'happy', 'happybirthday', 'love', 'th', 'celebrating', 'day', 'hope', 'celebrate', 'brother']","['birthday', 'happybirthday', 'birthdays', 'birthdayvibes', 'birthdayweekend', 'happybirthdaytome', 'birthdayboy', 'birthdaygirl', 'birthdaybehavior', 'celebrate']","['birthday', 'happybirthday', 'wishes', 'friend', 'happiest', 'happybirthdaytome', 'birthdays', 'birthdaygirl', 'sister', 'birthdayboy']","['happy birthday me..... ,', 'happy birthday', 'happy birthday !  ,']"
36,671,36_snow_inch_reports_observer,"['snow', 'inch', 'reports', 'observer', 'cst', 'op', 'public', 'co', 'est', '00']","['snowfall', 'snow', 'snowing', 'ski', 'ice', 'storm', 'inch', 'elevation', 'reported', 'inches']","['snow', 'inch', 'reports', 'observer', 'public', 'snowfall', 'station', 'nws', 'broadcast', 'storm']","['at :00 pm est, [ co, ] public reports snow of inch', 'at :00 pm cst, se [ , ] public reports snow of inch', 'at :00 am cst, e [ co, ] -op observer reports snow of inch']"
37,621,37_move_moving_moved_im,"['move', 'moving', 'moved', 'im', 'wanna', 'want', 'back', 'might', 'think', 'cant']","['move', 'moved', 'relocate', 'relocating', 'moving', 'relocated', 'outta', 'change', 'transfer', 'going']","['move', 'moved', 'want', 'back', 'relocating', 'job', 'months', 'relocate', 'away', 'living']","['move to !', 'should i move to', 'move from to']"
38,608,38_posted_photo_publicar_foto,"['posted', 'photo', 'publicar', 'foto', 'acaba', 'acabou', 'uma', 'picture', 'em', 'ward']","['foto', 'photo', 'picture', 'pic', 'pics', 'posted', 'selfie', 'image', 'photos', 'pictures']","['posted', 'foto', 'ward', 'memorial', 'pic', 'cryotherapy', 'pics', 'gallery', 'coeur', 'pawtucket']","['just posted a photo / , ,', 'just posted a photo ,', 'just posted a photo / -']"
39,585,39_show_episode_shows_comedy,"['show', 'episode', 'shows', 'comedy', 'watch', 'tonight', 'watching', 'season', 'amazing', 'see']","['show', 'shows', 'showtime', 'episode', 'premiere', 'episodes', 'tv', 'drama', 'comedy', 'stage']","['show', 'episode', 'shows', 'comedy', 'tonight', 'tv', 'watched', 'great', 'episodes', 'loved']","['new show is up: ,', 'in . great show!', 'that show']"
40,564,40_coronavirus_cases_covid19_virus,"['coronavirus', 'cases', 'covid19', 'virus', 'corona', 'deaths', 'confirmed', 'pandemic', 'covid', 'covid_19']","['coronavirus', 'coronavirususa', 'coronaviruspandemic', 'coronavirusoutbreak', 'coronavirusupdate', 'coronavirusupdates', 'coronavirusphotography', 'corona', 'virus', 'gagoantivirus']","['coronavirus', 'virus', 'corona', 'deaths', 'pandemic', 'covid_19', 'coronaviruspandemic', 'coronavirusoutbreak', 'coronavirusupdate', 'cdc']","['coronavirus ,', 'there is no coronavirus in', 'coronavirus is in ....']"
41,554,41_trip_travel_vacation_packing,"['trip', 'travel', 'vacation', 'packing', 'need', 'trips', 'traveling', 'planning', 'go', 'take']","['trip', 'trips', 'viagem', 'roadtrip', 'travel', 'travels', 'traveling', 'traveled', 'journey', 'getaway']","['trip', 'travel', 'vacation', 'trips', 'traveling', 'planning', 'road', 'packed', 'soon', 'week']","['day trip to', 'trip it is', 'trip. ,']"
42,540,42_book_library_books_reading,"['book', 'library', 'books', 'reading', 'poetry', 'read', 'potter', 'author', 'harry', 'writing']","['book', 'libro', 'books', 'booksigning', 'literature', 'reading', 'bookclub', 'literary', 'novel', 'author']","['books', 'reading', 'poetry', 'bookstore', 'poet', 'novel', 'poets', 'writers', 'authors', 'poems']","['what time is it? time to read this book..... ,', 'great book', 'book ,']"
43,538,43_weekend_week_next_weeks,"['weekend', 'week', 'next', 'weeks', 'ill', 'friday', 'saturday', 'days', 'last', 'going']","['weekend', 'weekends', 'weekendvibes', 'saturday', 'semana', 'sunday', 'week', 'friday', 'wednesday', 'weeks']","['weekend', 'week', 'weeks', 'friday', 'saturday', 'days', 'tomorrow', 'sunday', 'wait', 'mardi']","['this weekend!!!', 'this weekend go see or next weekend', 'this weekend; next week.']"
44,527,44_train_bus_subway_mta,"['train', 'bus', 'subway', 'mta', 'trains', 'metro', 'transit', 'rail', 'station', 'stop']","['subway', 'subways', 'metro', 'amtrak', 'commuter', 'train', 'transit', 'traintravel', 'commute', 'transportation']","['train', 'subway', 'trains', 'metro', 'transit', 'amtrak', 'locomotive', 'buses', 'railroad', 'railway']","['train! ,', 'off the train. ( mta subway - / / (4/5/6/j/z) - in york, )', ""i'm at mta subway - r train - in ,""]"
45,523,45_birds_bird_birding_goat,"['birds', 'bird', 'birding', 'goat', 'ducks', 'duck', 'bugs', 'wildlife', 'hummingbird', 'nature']","['birds', 'bird', 'birding', 'parrot', 'birdwatching', 'heron', 'birdcpp', 'birdsofinstagram', 'seagull', 'ducks']","['birds', 'wildlife', 'hummingbird', 'birdsofinstagram', 'parrot', 'birdphotography', 'birdwatching', 'wildlifephotography', 'lostbird', 'warbler']","['good morning you know what they say about early birds ,', 'this place is for the birds. ,', ' birds 3']"
46,517,46_anabelgonzalezfigueroa_gracias_buenos_das,"['anabelgonzalezfigueroa', 'gracias', 'buenos', 'das', 'saludos', 'feliz', 'familia', 'repost', 'da', 'amor']","['diadelosmuertos', 'fiesta', 'bello', 'garcia', 'spanish', 'amigo', 'maana', 'cumpleaos', 'anabelgonzalezfigueroa', 'mexicano']","['anabelgonzalezfigueroa', 'saludos', 'familia', 'fiesta', 'garcia', 'colombiano', 'orlando', 'presente', 'french', 'elpaso']","['buenos das somewhere in', 'buenos das ; buenos das, buenos das mujeres y buenos das mundo! biznet biznetlatina biznet2022 biznetny en , n. .', 'buenos das!!! en ,']"
47,484,47_hiking_hike_mountains_trail,"['hiking', 'hike', 'mountains', 'trail', 'nature', 'mountain', 'desert', 'park', 'beautiful', 'trails']","['hikes', 'hiking', 'hiked', 'hike', 'hikingadventures', 'mountainlife', 'trekking', 'mountains', 'mountaineers', 'wilderness']","['hiking', 'mountains', 'trails', 'canyon', 'hikes', 'yosemite', 'roadtrip', 'parks', 'hikingadventures', 'scenery']","['had to get in a hike on this beautiful day! ( - in , )', ', hiking weekend.', '   hiking ']"
48,469,48_covid_19_cases_covid19,"['covid', '19', 'cases', 'covid19', 'deaths', 'positive', 'testing', 'tested', 'tests', 'test']","['covid_19', 'covid19', 'covid', '19', 'outbreak', 'deaths', 'toll', 'april', 'died', 'latest']","['covid', 'covid19', 'deaths', 'tests', 'reported', 'hospitalizations', 'covid_19', 'spread', 'days', 'infected']","['and covid-19 ,', 'new cases of covid-19 reported in today.', 'reports new covid-19 cases, more deaths']"
49,465,49_vaccine_vaccinated_covid_vaccination,"['vaccine', 'vaccinated', 'covid', 'vaccination', 'vaccines', '19', 'vaccinations', 'doses', 'get', 'unvaccinated']","['vaccinate', 'vaccination', 'vaccinations', 'vaccinated', 'vacuna', 'vaccinating', 'vaccine', 'vacunas', 'vaccines', 'vacunacin']","['vaccine', 'vaccinated', 'vaccination', 'vaccinations', 'unvaccinated', 'vaccinating', 'covidvaccine', 'vacunas', 'appointments', 'monkeypox']","['you dont shed virus after a vaccine. thanks for coming to my . private school to require students getting covid vaccine to stay home for days after each dose', 'has a vaccine mandate. every one i know is vaccinated, except the babies.', 'got the second vaccine at  today! vaccinated  the place was empty, so no waiting. if you havent been vaccinated, get on it!']"
