ISO 2,count,flux_num,flux_percentage
AR,965,1146,84.20593368237347
BO,8,1146,0.6980802792321117
BR,60,1146,5.2356020942408374
CL,25,1146,2.181500872600349
CO,14,1146,1.2216404886561953
EC,10,1146,0.8726003490401396
PY,9,1146,0.7853403141361256
PE,19,1146,1.6579406631762654
UY,16,1146,1.3961605584642234
VE,20,1146,1.7452006980802792
