ISO 2,count,flux_num,flux_percentage
AR,90,2358,3.816793893129771
BO,10,2358,0.4240882103477523
BR,43,2358,1.823579304495335
CL,2021,2358,85.70822731128075
CO,65,2358,2.75657336726039
EC,10,2358,0.4240882103477523
PY,5,2358,0.21204410517387615
PE,32,2358,1.3570822731128074
UY,6,2358,0.2544529262086514
VE,76,2358,3.2230703986429172
