Topic,Count,Name,Representation,KeyBERT,MMR,Representative_Docs
-1,23440,-1_amp_day_travel_time,"['amp', 'day', 'travel', 'time', 'one', 'like', 'today', 'people', 'back', 'see']","['hoy', 'nice', 'great', 'visit', 'morning', 'trip', 'via', 'day', 'today', 'beautiful']","['day', 'travel', 'time', 'back', 'love', 'home', 'city', 'country', 'visit', 'life']","['looking over my summer and i was lucky to have done so many things! this time in was one of my favourites though. it was just beautiful. i found myself laughing all the time and the random memories always make me smile x', 'good morning travel', ""good morning though it's more like good night for me as it's night in .... hope you great day today.""]"
0,2776,0_vatican_pope_papa_musei,"['vatican', 'pope', 'papa', 'musei', 'art', 'vaticano', 'museums', 'church', 'vaticancity', 'mass']","['vaticanmuseum', 'vaticanmuseums', 'vaticancity', 'vaticani', 'vatican', 'vaticano', 'basilica', 'papal', 'popefrancis', 'pope']","['vatican', 'pope', 'vaticano', 'church', 'vaticancity', 'popefrancis', 'vaticani', 'basilica', 'papal', 'museos']","['travel vatican vaticano  world en ,', ', home to the pope and a trove of iconic art and architecture. vaticancity  church history vatican', ': vatican museums - musei vaticani']"
1,1309,1_team_game_football_win,"['team', 'game', 'football', 'win', 'league', 'final', 'match', 'vs', 'games', 'cup']","['team', 'teams', 'squad', 'rugby', 'football', 'players', 'soccer', 'league', 'champions', 'championship']","['football', 'match', 'players', 'champions', 'teams', 'tournament', 'goal', 'luck', 'rugby', 'liverpool']","['i wouldnt say so. a town football team had an u11 game last week, /23 players came from one hurling club in north . lets not forget sunday either, we were all football people in for the day haha', 'team!', 'the only football team in all of']"
2,1188,2_meeting_conference_amp_great,"['meeting', 'conference', 'amp', 'great', 'president', 'minister', 'ambassador', 'students', 'today', 'education']","['meeting', 'meetings', 'cooperation', 'collaboration', 'discussions', 'discussed', 'discuss', 'discussion', 'ambassador', 'conference']","['meeting', 'conference', 'ambassador', 'students', 'cooperation', 'innovation', 'business', 'future', 'mxico', 'discuss']","['at the meeting with ambassador dr martin frick in ministry of foreign affairs today in we discussed bilateral cooperation and recent succesful initiatives in the hrc...', 'today, amcham members and partners met with prime minister for the th annual meeting to discuss topics that are relevant to foreign investors in and the overall strategy of the government when it comes to fdi. thank you pm ! great discussion!', 'during a meeting with , ambassador of the republic of to , we discussed bilateral relations, the current covid-19 situation and opportunities for further cooperation between the two countries']"
3,1173,3_russian_ukrainian_putin_getputin,"['russian', 'ukrainian', 'putin', 'getputin', 'evilputin', 'military', 'freedomof', 'thefallofputin', 'nato', 'forces']","['ukraine', 'ukrainians', 'kyiv', 'vladimir', 'troops', 'soldiers', 'ukrainian', 'army', 'russians', 'enemy']","['ukrainian', 'getputin', 'freedomof', 'ukrainians', 'russians', 'troops', 'missiles', 'civilians', 'guerra', 'hitler']","['ukrainians are great soldiers that are hard to match for any army in the world. thefallofputin  getputin evilputin   freedomof ', 'destroying russian tank. thefallofputin  getputin evilputin   freedomof ', 'a russian mt-lb, captured by ukrainian forces. thefallofputin  getputin evilputin   freedomof ']"
4,968,4_music_concert_radio_nowplaying,"['music', 'concert', 'radio', 'nowplaying', 'show', 'tonight', 'dj', 'live', 'ger', 'bb']","['music', 'song', 'newmusic', 'concierto', 'livemusic', 'radio', 'musician', 'musical', 'nowplaying', 'band']","['music', 'concert', 'radio', 'nowplaying', 'show', 'tonight', 'dj', 'gig', 'jazz', 'party']","['nowplaying katyperry ~ katy perry | never really over ||| bb radio - in   ger auf', 'nowplaying maroon5 ~ maroon | girls like you ||| bb radio - in   ger auf', ""can't wait to show you all the new music , comment if you are excited !! em ,""]"
5,883,5_brexit_vote_government_democracy,"['brexit', 'vote', 'government', 'democracy', 'scotland', 'amp', 'people', 'party', 'referendum', 'political']","['brexit', 'brexiteers', 'referendum', 'british', 'union', 'scotland', 'politics', 'voted', 'partido', 'political']","['brexit', 'vote', 'democracy', 'scotland', 'referendum', 'elections', 'politicians', 'leave', 'democratic', 'voters']","['got brexit done: a primer johnson: got brexit. the : got done. hope this helps.', 'labour of course brexit can be eventually undone if there is the political will. brexit is clearly not working &amp; nothing will make it work with tory &amp; lab hard brexit policies out of sm &amp; cu. over time as enlarges to &amp; economy will be increasingly isolated from .', 'brexit , near in . there are going to be another around the country. who voted for this ?']"
6,790,6_andorra_vella_madrid_andorre,"['andorra', 'vella', 'madrid', 'andorre', 'portugal', 'buenos', 'ms', 'sanmarino', 'gracias', 'andorralavella']","['andorralavella', 'andorra', 'andorre', 'andorralovers', 'baslica', 'spanish', 'yomequedoencasa', 'ciudaddelvaticano', 'maana', 'cittadelvaticano']","['andorra', 'madrid', 'portugal', 'sanmarino', 'andorralavella', 'cultura', 'spain', 'baslica', 'vacaciones', 'canillo']","['andorra andorre andorralovers andorralavella mercatdenadal grifovacances andorra andorralovers la vella,', 'andorra andorre andorralavella la vella,', 'andorralovers andorra andorre la vella,']"
7,752,7_snow_winter_ski_ice,"['snow', 'winter', 'ski', 'ice', 'iceland', 'cold', 'skiing', 'snowboarding', 'nieve', 'glacier']","['snow', 'snowfall', 'snowy', 'snowing', 'invierno', 'winteriscoming', 'ski', 'winter', 'wintertime', 'skiing']","['snow', 'ski', 'skiing', 'snowboarding', 'snowy', 'snowboard', 'invierno', 'trip', 'slopes', 'glaciers']","['last snow of the year probably not long ago, still a wonderful of ! from les ski resort   winter snow people', 'snow! ,', '  snow ,']"
8,714,8_food_restaurant_dinner_lunch,"['food', 'restaurant', 'dinner', 'lunch', 'foodie', 'delicious', 'chocolate', 'yummy', 'meal', 'foodporn']","['comida', 'food', 'foodie', 'meal', 'foodiesofinstagram', 'gourmet', 'tasty', 'streetfood', 'snack', 'cuisine']","['food', 'restaurant', 'foodie', 'meal', 'foodporn', 'seafood', 'pasta', 'tasty', 'salad', 'pizza']","['food lunch meal dinner salad bread lettuce delicious no person vegetable plate rocket meat cheese tomato dish appetizer healthy epicure cuisine endofweek', 'miss your food in !!!', 'has food']"
