Topic,Count,Name,Representation,KeyBERT,MMR,Representative_Docs
9,933,9_brexit_amp_vote_people,"['brexit', 'amp', 'vote', 'people', 'government', 'scotland', 'democracy', 'would', 'party', 'referendum', 'political', 'country', 'even', 'right', 'gobierno', 'elections', 'voted', 'one', 'corrupt', 'johnson', 'labour', 'like', 'leave', 'election', 'british', 'want', 'nothing', 'politicians', 'dont', 'know']","['brexit', 'brexiteers', 'referendum', 'british', 'parliament', 'politics', 'political', 'politicians', 'partido', 'gobierno']","['brexit', 'vote', 'scotland', 'democracy', 'referendum', 'gobierno', 'elections', 'voted', 'british', 'politicians']","['the parliament needs to vote a legislation that a no-deal brexit is not allowed unless there is a majority for a no-deal. boris johnson has to respect the democracy and not suspend the voice of the people in order to get in a complete chaos.', 'got brexit done: a primer johnson: got brexit. the : got done. hope this helps.', ""it's a disaster for honesty &amp; transparency in public life that media &amp; both government &amp; main opposition party lab. subscribe to the omert compact not to talk about it. the brexit king has no clothes. cannot last forever &amp; labour in government will not make hard brexit work!""]"
10,813,10_taxi_chauffeur_flight_train,"['taxi', 'chauffeur', 'flight', 'train', 'airport', 'uber', 'flights', 'drivers', 'bus', 'car', 'addison', 'rideshare', 'splitcosts', 'plane', 'gt', 'carpool', 'lee', 'flying', 'trains', 'station', 'back', 'hours', 'get', 'fly', 'waiting', 'delayed', 'cars', 'cancelled', 'driver', 'booked']","['taxi', 'chauffeur', 'uber', 'rideshare', 'drivers', 'carpool', 'driver', 'car', 'passengers', 'driving']","['taxi', 'chauffeur', 'airport', 'uber', 'flights', 'bus', 'rideshare', 'carpool', 'trains', 'booked']","['taxi! ,', 'welcome to  taxi chauffeur', 'uber income taxi chauffeur ']"
11,498,11_bed_hotel_house_sale,"['bed', 'hotel', 'house', 'sale', 'detached', 'apartment', 'realestate', 'property', 'semi', 'terraced', 'furnished', 'co', 'bedroom', 'view', 'beach', 'price', 'realtor', 'reduced', 'rent', 'room', 'quick', 'cork', 'luxury', 'realestateagent', 'top', 'sal', 'penthouse', 'sunnybeach', 'beachapartments', 'broker']","['bedroom', 'bed', 'residence', 'rooms', 'apartment', 'house', 'bungalow', 'room', 'cottage', 'penthouse']","['hotel', 'house', 'terraced', 'bedroom', 'price', 'realtor', 'realestateagent', 'penthouse', 'beachapartments', 'broker']","[', , , | bed semi-detached house .. | |  ', ', , | bed detached house m .. | |  ', ', , , .. | bed detached house m.. | |  _']"
12,416,12_coronavirus_covid19_covid_19,"['coronavirus', 'covid19', 'covid', '19', 'vaccine', 'cases', 'corona', 'virus', 'vaccination', 'covid_19', 'vaccinated', 'vacunas', 'casos', 'infection', 'vacunacin', 'covid2019', 'test', 'pandemic', 'people', 'new', 'health', 'rate', 'lockdown', 'infections', 'vaccines', 'deaths', 'first', 'tests', 'amp', 'today']","['coronavirus', 'coronarvirusitalia', 'coronaviruspandemic', 'coronaoutbreak', 'virus', 'corona', 'outbreak', 'covid2019', 'flu', 'covid19']","['coronavirus', 'vaccine', 'virus', 'vaccination', 'vacunacin', 'covid2019', 'pandemic', 'vaccines', 'deaths', 'tests']","['breaking: lockdown for people; five new coronavirus cases confirmed (times of ) coronavirus covid_19 covid19 coronacrisis covid19 covid2019', 'and then there was ! coronavirus in', 'coronavirus ']"
13,343,13_earthquake_min_km_ago,"['earthquake', 'min', 'km', 'ago', 'strikes', 'eyewitnesses', 'felt', 'm3', 'trmet', 'm2', 'effects', 'report', 'stories', 'map', 'reported', 'please', 'm4', 'read', 'nw', 'm1', 'potres', 'share', 'reports', 'amp', 'received', 'following', 'sw', 'updated', 'far', 'local']","['terremoto', 'earthquake', 'cutremur', 'sismo', 'earthquakes', 'quakes', 'quake', 'seismic', 'km', 'tremor']","['earthquake', 'km', 'strikes', 'eyewitnesses', 'm2', 'effects', 'map', 'reports', 'amp', 'local']","['felt earthquake (trmet) m3.3 strikes km e of  ( ) min ago. please report to:', 'felt earthquake (trmet) m3.9 strikes km se of  ( ) min ago. please report to:', 'felt earthquake (trmet) m3.1 strikes km s of  ( ) min ago. please report to:']"
14,326,14_live_vivir_greater_zh,"['live', 'vivir', 'greater', 'zh', 'home', 'vivo', 'distrito', 'living', 'stay', 'campus', 'duty', 'stayhome', 'co', 'casa', 'oostende', 'shush', 'rossio', 'quiero', 'station', 'born', 'morar', 'hu', 'lidl', 'obelisco', 'move', 'bu', 'guaita', 'important', 'staysafe', 'viviendo']","['living', 'vivir', 'viviendo', 'live', 'vivo', 'onde', 'emquedoacasa', 'quiero', 'kunnantalo', 'casa']","['vivo', 'distrito', 'stay', 'campus', 'stayhome', 'casa', 'oostende', 'station', 'guaita', 'viviendo']","['i live in ...', 'live from ', 'live from s , .']"
15,239,15_bike_cycling_bicycle_cycle,"['bike', 'cycling', 'bicycle', 'cycle', 'bikes', 'ride', 'bici', 'infra', '00', 'riding', 'km', 'lanes', 'day', 'bikelife', 'biking', 'mtb', 'biker', 'marsa', 'lane', 'cyclinglife', 'today', 'route', 'cyclists', 'training', 'around', 'fun', 'guidelines', 'back', 'road', 'cyclingempire']","['ciclismo', 'cycling', 'bici', 'bicicleta', 'biking', 'cyclingempire', 'bike', 'cyclinglife', 'bicycle', 'bikelife']","['bike', 'cycling', 'bikes', 'bici', 'bikelife', 'biking', 'biker', 'cyclinglife', 'cyclists', 'cyclingempire']","['night cycling. ,', 'back to cycling in ', ""it's me! in ! on a bike! am i a local now? ,""]"
16,208,16_cat_cats_dog_dogs,"['cat', 'cats', 'dog', 'dogs', 'male', 'lost', 'catsofinstagram', 'lpie', 'puppy', 'animals', 'catsoftwitter', 'bear', 'help', '2019', 'female', 'pets', 'love', 'dogsofinstagram', 'old', 'found', 'winter', 'stray', 'pelt', 'adoptdontshop', 'morning', 'family', 'strays', 'dogsoftwitter', 'panda', 'days']","['cat', 'gatos', 'cats', 'catlife', 'katzenworld', 'catsrule', 'kittens', 'catsofinstagram', 'catstagram', 'catsoftwitter']","['cats', 'dogs', 'catsofinstagram', 'puppy', 'catsoftwitter', 'bear', 'pets', 'dogsofinstagram', 'strays', 'dogsoftwitter']","['male cat lost on /11/2019 in ,  , - lpie', 'cat lost days ago - , ,', 'love the cat , ,']"
17,167,17_sunrise_length_utc_noon,"['sunrise', 'length', 'utc', 'noon', 'sunset', 'morning', 'good', 'cet', 'day', 'cest', 'december', 'april', 'eet', 'january', '01', 'february', '59', 'october', '55', '46', '25', '39', 'march', 'eest', 'june', '06', '02', '34', '14', '16']","['25am', 'sunrise', '16am', 'morning', '27am', '08pm', '49am', '22pm', 'noon', '12pm']","['sunrise', 'length', 'utc', 'noon', 'sunset', 'morning', 'day', 'december', 'april', '06']","['good morning, ! sunrise :39, noon :50, sunset :01 cet (utc+1), december . day length: h m.', 'good morning, ! sunrise :22, noon :41, sunset :00 cet (utc+1), december . day length: h m.', 'good morning, ! sunrise :08, noon :01, sunset :55 cet (utc+1), march . day length: h m.']"
18,125,18_blockchain_crypto_bitcoin_meetup,"['blockchain', 'crypto', 'bitcoin', 'meetup', 'cryptocurrency', 'metaverse', '1000x', '100x', 'bsc', 'doxxedteam', 'erc20', 'marketcap', 'kata', 'nft', 'skip', 'straight', 'low', 'web', 'technology', 'xrp', 'btc', 'moon', 'summit', 'cryptonaires', 'conference', 'twitter', 'ethereum', 'regulation', 'digital', 'data']","['blockchain', 'blockchaineconomy', 'cryptocurrency', 'bitcoin', 'cryptocurrencies', 'cryptofinance', 'cryptonaires', 'crypto', 'tokens', 'sidechain']","['blockchain', 'crypto', 'bitcoin', 'cryptocurrency', 'doxxedteam', 'erc20', 'marketcap', 'web', 'cryptonaires', 'digital']","['. blockchain meetup see you there blockchain meetup  bitcoin lightningnetwork', 'day at the blockchain summit in  crypto blockchain ai expo cannabis technology', 'blockchain consulting services  nice to see all these details about blockchain and crypto currency.  cryptowallet crypto bitcoins blockchain']"
19,105,19_service_phone_card_shipping,"['service', 'phone', 'card', 'shipping', 'pay', 'dont', 'would', 'store', 'apple', 'delivery', 'online', 'account', 'tried', 'failure', 'gb', 'cash', 'vodafone', 'internet', 'ive', 'buy', 'month', 'issue', 'money', 'customer', 'working', 'avis', 'blocked', 'banks', 'shop', 'deliver']","['service', 'blocked', 'vodafone', 'failure', 'phone', 'call', 'telekom', 'issue', 'provider', 'online']","['service', 'phone', 'card', 'shipping', 'pay', 'apple', 'account', 'vodafone', 'customer', 'banks']","['failure of service day-638 blocked by  for raising this legitimate service failure on social media.   coco your love visit events shop  love yourcouncil', 'failure of service day-494 blocked by  for raising this legitimate service failure on social media.   coco your love visit events shop  love yourcouncil', 'failure of service day-494 blocked by  countycouncil a publicly funded public service org for raising a public service issue on social media.   coco your love visit events shop']"
20,102,20_fitness_gym_workout_exercise,"['fitness', 'gym', 'workout', 'exercise', 'training', 'health', 'gymlife', 'bodybuilding', 'abs', 'wellbeing', 'physical', 'ejercicio', 'chest', 'sports', 'coaching', 'weight', 'semanas', 'balance', 'course', 'coach', 'musclegirl', 'sedentary', 'fitnessgirl', 'mrssporty1190', 'chiropractic', 'osteopathie', 'legday', 'metabolic', 'bodybybentt', 'fisioterapia']","['workout', 'fitness', 'gym', 'gymlife', 'exercise', 'fitnessgirl', 'ejercicio', 'bodybuilding', 'fisioterapia', 'entreno']","['fitness', 'gym', 'workout', 'exercise', 'gymlife', 'bodybuilding', 'ejercicio', 'fitnessgirl', 'chiropractic', 'fisioterapia']","[""i'm getting ready for the holidays. christmas holidays holidayseason gymlife gym gymmotivation  sibiu staystrong stayfit fitness fitnessgirl fitwife motivation abs workout workoutmotivation"", 'see you this weekend , ! fitness   amateurolympia  fitness', ""many days i don't exercise, i miss the gym ,""]"
21,102,21_foodwaste_free_unitedkingdom_organic,"['foodwaste', 'free', 'unitedkingdom', 'organic', 'sandwich', 'bread', 'pret', 'bun', 'fresh', 'buns', 'pastry', 'cheese', 'ham', 'donated', 'baguette', 'cinnamon', 'seeds', 'kindly', '2x', 'pesso', 'vegan', 'caffe', 'dk', 'tesco', 'tomatoes', 'sweet', 'mixed', 'red', 'hellewr', 'cardamom']","['foodwaste', 'glutenfree', 'vegan', 'organicproducts', 'wholemeal', 'organic', 'sandwiches', 'soup', 'sandwich', 'pastry']","['foodwaste', 'free', 'organic', 'sandwich', 'bread', 'buns', 'pastry', 'baguette', 'vegan', 'caffe']","['""sandwich from "" in   foodwaste free', '"" "" in   foodwaste free', '""organic soup"" in  unitedkingdom foodwaste free']"
22,85,22_casino_monaco_montecarlo_monte,"['casino', 'monaco', 'montecarlo', 'monte', 'montecarlomonaco', 'carlo', 'casinomontecarlo', 'poker', 'principality', 'casinosmontecarlo', 'winnings', 'roulette', 'cotedazur', 'fancy', 'montecarlocasino', 'vacances', 'night', 'lost', 'pokerdad', 'pokerdadlife', 'pokerlife', 'pokerpro', 'pokeronline', 'pokerplayer', 'hoteldeparismontecarlo', 'martini', 'grinch', 'jmlpyt', 'slot', 'joannabujoli']","['casino', 'casinosmontecarlo', 'casinomontecarlo', 'gambling', 'pokerlife', 'gamblinglaw', 'gamble', 'roulette', 'poker', 'slotsgames']","['casino', 'casinomontecarlo', 'poker', 'casinosmontecarlo', 'roulette', 'pokerdad', 'pokerlife', 'pokerpro', 'pokeronline', 'pokerplayer']","['welcome to monaco at casino casino de', 'em casino de', 'when in ........ casino de']"
23,74,23_book_read_books_reading,"['book', 'read', 'books', 'reading', 'novel', 'literature', 'poetry', 'copy', 'bestseller', 'bookshop', 'library', 'fiction', 'poems', 'new', 'lectura', 'looking', 'forward', 'loved', 'libro', 'holiday', 'author', 'one', 'amp', 'booklovers', 'authors', 'campengabacho', 'drakon', 'bookstagram', 'paperback', 'bookshops']","['booklovers', 'bestseller', 'book', 'lectura', 'books', 'libro', 'reading', 'literature', 'literatura', 'novela']","['books', 'novel', 'literature', 'bestseller', 'bookshop', 'poems', 'lectura', 'author', 'booklovers', 'bookstagram']","['ahh .. listen to me !!! i want a book too! where can i buy it !? i do not live in , or the ! i live in . how to get the book ???', 'today we launched the international book club at ! we watched book reviews from and submitted some greetings on for our partners from to watch. we love reading .do you?', ""finished this awesome book in less than a week! as always with books, once you pick it up, you can't put it down!! book reading novel crime ,""]"
