unicode	country	unicode_1	country_code
\\u0001f1f0\\u0001f1fe	Cayman Islands	\u0001f1f0\u0001f1fe	flag: Cayman Islands
\\u0001f1f0\\u0001f1ff	Kazakhstan	\u0001f1f0\u0001f1ff	flag: Kazakhstan
\\u0001f1f1\\u0001f1e6	Lao People's Democratic Republic	\u0001f1f1\u0001f1e6	flag: Lao People's Democratic Republic
\\u0001f1f1\\u0001f1e7	Lebanon	\u0001f1f1\u0001f1e7	flag: Lebanon
\\u0001f1f1\\u0001f1e8	Saint Lucia	\u0001f1f1\u0001f1e8	flag: Saint Lucia
\\u0001f1f1\\u0001f1ee	Liechtenstein	\u0001f1f1\u0001f1ee	flag: Liechtenstein
\\u0001f1f1\\u0001f1f0	Sri Lanka	\u0001f1f1\u0001f1f0	flag: Sri Lanka
\\u0001f1f1\\u0001f1f7	Liberia	\u0001f1f1\u0001f1f7	flag: Liberia
\\u0001f1f1\\u0001f1f8	Lesotho	\u0001f1f1\u0001f1f8	flag: Lesotho
\\u0001f1f1\\u0001f1f9	Lithuania	\u0001f1f1\u0001f1f9	flag: Lithuania
\\u0001f1f1\\u0001f1fa	Luxembourg	\u0001f1f1\u0001f1fa	flag: Luxembourg
\\u0001f1f1\\u0001f1fb	Latvia	\u0001f1f1\u0001f1fb	flag: Latvia
\\u0001f1f1\\u0001f1fe	Libya	\u0001f1f1\u0001f1fe	flag: Libya
\\u0001f1f2\\u0001f1e6	Morocco	\u0001f1f2\u0001f1e6	flag: Morocco
\\u0001f1f2\\u0001f1e8	Monaco	\u0001f1f2\u0001f1e8	flag: Monaco
\\u0001f1f2\\u0001f1e9	Moldova	\u0001f1f2\u0001f1e9	flag: Moldova
\\u0001f1f2\\u0001f1ea	Montenegro	\u0001f1f2\u0001f1ea	flag: Montenegro
\\u0001f1f2\\u0001f1eb	Saint Martin (French Part)	\u0001f1f2\u0001f1eb	flag: Saint Martin (French Part)
\\u0001f1f2\\u0001f1ec	Madagascar	\u0001f1f2\u0001f1ec	flag: Madagascar
\\u0001f1f2\\u0001f1ed	Marshall Islands	\u0001f1f2\u0001f1ed	flag: Marshall Islands
\\u0001f1f2\\u0001f1f0	Macedonia	\u0001f1f2\u0001f1f0	flag: Macedonia
\\u0001f1f2\\u0001f1f1	Mali	\u0001f1f2\u0001f1f1	flag: Mali
\\u0001f1f2\\u0001f1f2	Myanmar	\u0001f1f2\u0001f1f2	flag: Myanmar
\\u0001f1f2\\u0001f1f3	Mongolia	\u0001f1f2\u0001f1f3	flag: Mongolia
\\u0001f1f2\\u0001f1f4	Macao	\u0001f1f2\u0001f1f4	flag: Macao
\\u0001f1f2\\u0001f1f5	Northern Mariana Islands	\u0001f1f2\u0001f1f5	flag: Northern Mariana Islands
\\u0001f1f2\\u0001f1f6	Martinique	\u0001f1f2\u0001f1f6	flag: Martinique
\\u0001f1f2\\u0001f1f7	Mauritania	\u0001f1f2\u0001f1f7	flag: Mauritania
\\u0001f1f2\\u0001f1f8	Montserrat	\u0001f1f2\u0001f1f8	flag: Montserrat
\\u0001f1f2\\u0001f1f9	Malta	\u0001f1f2\u0001f1f9	flag: Malta
\\u0001f1f2\\u0001f1fa	Mauritius	\u0001f1f2\u0001f1fa	flag: Mauritius
\\u0001f1f2\\u0001f1fb	Maldives	\u0001f1f2\u0001f1fb	flag: Maldives
\\u0001f1f2\\u0001f1fc	Malawi	\u0001f1f2\u0001f1fc	flag: Malawi
\\u0001f1f2\\u0001f1fd	Mexico	\u0001f1f2\u0001f1fd	flag: Mexico
\\u0001f1f2\\u0001f1fe	Malaysia	\u0001f1f2\u0001f1fe	flag: Malaysia
\\u0001f1f2\\u0001f1ff	Mozambique	\u0001f1f2\u0001f1ff	flag: Mozambique
\\u0001f1f3\\u0001f1e6	Namibia	\u0001f1f3\u0001f1e6	flag: Namibia
\\u0001f1f3\\u0001f1e8	New Caledonia	\u0001f1f3\u0001f1e8	flag: New Caledonia
\\u0001f1f3\\u0001f1ea	Niger	\u0001f1f3\u0001f1ea	flag: Niger
\\u0001f1f3\\u0001f1eb	Norfolk Island	\u0001f1f3\u0001f1eb	flag: Norfolk Island
\\u0001f1f3\\u0001f1ec	Nigeria	\u0001f1f3\u0001f1ec	flag: Nigeria
\\u0001f1f3\\u0001f1ee	Nicaragua	\u0001f1f3\u0001f1ee	flag: Nicaragua
\\u0001f1f3\\u0001f1f1	Netherlands	\u0001f1f3\u0001f1f1	flag: Netherlands
\\u0001f1f3\\u0001f1f4	Norway	\u0001f1f3\u0001f1f4	flag: Norway
\\u0001f1f3\\u0001f1f5	Nepal	\u0001f1f3\u0001f1f5	flag: Nepal
\\u0001f1f3\\u0001f1f7	Nauru	\u0001f1f3\u0001f1f7	flag: Nauru
\\u0001f1f3\\u0001f1fa	Niue	\u0001f1f3\u0001f1fa	flag: Niue
\\u0001f1f3\\u0001f1ff	New Zealand	\u0001f1f3\u0001f1ff	flag: New Zealand
\\u0001f1f4\\u0001f1f2	Oman	\u0001f1f4\u0001f1f2	flag: Oman
\\u0001f1f5\\u0001f1e6	Panama	\u0001f1f5\u0001f1e6	flag: Panama
\\u0001f1f5\\u0001f1ea	Peru	\u0001f1f5\u0001f1ea	flag: Peru
\\u0001f1f5\\u0001f1eb	French Polynesia	\u0001f1f5\u0001f1eb	flag: French Polynesia
\\u0001f1f5\\u0001f1ec	Papua New Guinea	\u0001f1f5\u0001f1ec	flag: Papua New Guinea
\\u0001f1f5\\u0001f1ed	Philippines	\u0001f1f5\u0001f1ed	flag: Philippines
